Testimonial By,Username,Date,Year / Grade,Country,City,Testimonial Type,Comment
teacher,Charlotte Davis,2/28/2023,,united-kingdom,Manchester,Text,"""We use Rurera as an intervention tool and an 'I'm done' activity. Both have drastically improved the environment in my classroom. The greatest impact is that the students get instant feedback, so they are able to see their mistakes and make changes. I love all the options and the data. I am using the Rurera Diagnostic for our progress monitoring and it is great."""
teacher,Michael Reed,3/1/2023,,united-kingdom,Glasgow,Text,"I thoroughly enjoy Rurera. I know that there are trillions of educational websites out there, but Rurera stands out a lot. I have not seen such a focused, spontaneous, and beautiful online educational environment anywhere! There are absolutely zero ads, nothing to distract, and the rewards represent motivation."
teacher,Mia Bennett,3/2/2023,,united-kingdom,Leeds,Text,"""I like being able to look up the problems my students have missed and use that data to help me better prepare them for upcoming assessments. My students have been using Rurera for at least five years and I get to see lots of progress from those who use Rurera regularly. I had several students able to bring their Iowa Assessment scores up 8 percentile over the course of using Rurera in my classroom for two years. Rurera makes it fun and exciting even for high schoolers--they love to be able to earn badges and tokens."""
teacher,Alexander Campbell,3/3/2023,,united-kingdom,Liverpool,Text,"""I like Rurera Analytics the best. I try to make all my lessons driven by student data and this platform really makes it easy to get a good overview of your students. My students absolutely adore Rurera. They are engaged, competitive (in a healthy way), and excited to share their progress with me! I use Rurera to reinforce content and as an intervention with specific students. Our state scores went up by 9% last year after we reviewed with Rurera Social Studies!"""
teacher,Evelyn Parker,3/4/2023,,united-kingdom,Newcastle upon Tyne,Text,"""I love that we have access to all grade levels which allows me to differentiate with very little effort! I can teach and assign areas of weakness and the students can work from any computer with internet! I also love Live Classroom. It's a fabulous feature that I have not seen anywhere else. I watch students work and can view the actual question they are working on. The performance and growth from Rurera is evident."""
teacher,Elijah Mitchell,3/5/2023,,united-kingdom,Sheffield,Text,"""I like that the mathematics is comprehensive for K-12 and students can learn at school or at home. Adding the Rurera Diagnostic has increased the functionality. Our diagnosticians like that the reports break down into areas and give areas of weakness. The Diagnostic report is a great tool for IEP meetings."""
teacher,Abigail Roberts,3/6/2023,,united-kingdom,Bristol,Text,"""Rurera's Common Core alignment makes it easier for me to assign work. I also like the immediate feedback and large bank of questions. My students' skill levels have increased dramatically over the past three years; they see it, and so do their parents. We have now added language arts because of our math success. This is an outstanding program. I love Rurera. I'm so grateful that our school continues to find the resources to keep us online. It is worth it!"""
teacher,Samuel Turner,3/7/2023,,united-kingdom,Edinburgh,Text,"""I cannot praise Rurera enough. On a routine basis, my students don't want to stop working on their Rurera Math assignments! I literally have to push them out the door to move them on to their next class! I also appreciate the ability to customize the student display of math levels to a lettered, rather than grade-level label. This allows me to assign work on any level to any student while respecting their dignity—an 8th grader doesn't know that they are working on a 6th-grade level assignment."""
teacher,Grace Foster,3/8/2023,,united-kingdom,Cardiff,Text,"""We use Rurera daily! Rurera has changed the way I teach because I do less whole group teaching and more group teaching to individual needs based on what they don't understand in Rurera."""
teacher,Christopher Hayes,3/9/2023,,united-kingdom,Belfast,Text,"""I love how engaged the students are with all the skills and how the skills build upon each other. I love that I can hide the grade levels and adjust for each of my students/classes. I get so much more practice on the skills using Rurera than if I used worksheets."""
teacher,Scarlett Nelson,3/10/2023,,united-kingdom,Nottingham,Text,"""I really love how Rurera explains key terms and concepts after a student has answered a question incorrectly. It's also great that Rurera is aligned with the Common Core. Rurera has reinforced and helped solidify what my students know and understand. This allows them to do better on district and state assessments."""
teacher,Daniel Mitchell,3/11/2023,,united-kingdom,Southampton,Text,"""I love that you offer MN Standards so that I can specifically meet the needs of my students and prepare them for the MCA tests in the spring. I LOVE that Rurera can be done independently, and if a student gets something wrong, there is an explanation showing why. The kids LOVE the awards! I also really like how reports are emailed to me, showing student progress. The kids are VERY motivated by this too!"""
teacher,Lily Adams,3/12/2023,,united-kingdom,Leicester,Text,"""With Rurera, I can have different students in the same class working on what they need instead of a one-size-fits-all practice. This also helps students take ownership of their learning as they self-assess. I have used Rurera to practice new skills or re-practice skills before doing test amendments, and students not only were engaged but were able to then demonstrate their skills. For my most vulnerable students who have always struggled, they can see success as they work through Rurera's tasks."""
teacher,David Roberts,3/13/2023,,united-kingdom,Aberdeen,Text,"""After instituting Rurera in my classroom last year, I moved to 80% growth scores because I could provide timely feedback and interventions without the insane hours of hand grading, data analysis, and planning. Rurera supports much of what I would do by hand. I think it is an invaluable tool for my students' accountability of their learning and for their parents' engagement with the curriculum."""
teacher,Victoria Campbell,3/14/2023,,united-kingdom,Coventry,Text,"""I love Live Classroom. Being able to observe student performance in real time is huge because I can help students who normally would not ask."""
teacher,Joseph Turner,3/15/2023,,united-kingdom,Brighton and Hove,Text,"""I love that Rurera covers so many topics at each grade level and that I can assign certain sections to support my lessons. The layout, design, and graphics of Rurera are great. The question formats are appropriate, and I like the audio feature. There's a range of standards that have practice, and I appreciate that the standards are laid out in a logical sequence."""
teacher,Harper Stevens,3/16/2023,,united-kingdom,Portsmouth,Text,"""My students like the immediate feedback and the SmartScore. It gives them a sense of accomplishment. My level 1 and level 2 students were 10 percentage points above the district average on their semester exams. I believe that Rurera had a lot to do with that."""
teacher,Christopher Morgan,3/17/2023,,united-kingdom,Plymouth,Text,"""I use Rurera regularly in all of my classes. I like that students have points deducted for wrong answers, which encourages them to take more time and evaluate their answers before submitting. I also like that students are provided with an explanation on how to correctly work the problems for each question they miss."""
teacher,Penelope Mitchell,3/18/2023,,united-kingdom,Oxford,Text,"""I love Rurera because it allows me to teach multiple lessons simultaneously at multiple levels. It also allows for remediation and extension activities to increase skills and challenge in the classroom. Students thoroughly enjoy working on Rurera and push themselves for mastery of assigned lessons. Many will also redo lessons before quizzes and tests to prepare and review."""
teacher,Matthew Brooks,3/19/2023,,united-kingdom,Norwich,Text,"""The awards give my students a goal. The immediate feedback when they get an answer wrong helps improve their understanding."""
teacher,Madison Parker,3/20/2023,,united-kingdom,Stoke-on-Trent,Text,"""Rurera is brilliant. I am using it for autistic secondary students who need literacy and numeracy support. I love the instant feedback, the huge library of questions available, and the teacher insights!"""
teacher,Andrew Thompson,3/21/2023,,united-kingdom,Wolverhampton,Text,"""I like that Rurera holds the students accountable and ensures they do their own work. I also love that it gives the students feedback."""
teacher,Chloe Roberts,3/22/2023,,united-kingdom,Derby,Text,"Rurera is easy to set up and essential for upper-grade students. I use it daily for teaching and practice, tailoring lessons to address individual and class needs. It's the most effective app, but I wish it integrated with our Clever login."
teacher,Jackson Mitchell,3/23/2023,,united-kingdom,Swansea,Text,"""I like the Live Classroom feature where I can see what students are doing in real time. I also really like the new learning games - there are games that are actually fun to play, not just randomly generated worksheets disguised as games."""
teacher,Zoey Davis,3/24/2023,,united-kingdom,Southampton,Text,"""I love using the diagnostic tool to measure what grade level students ACTUALLY are. Due to the rigor of the International Baccalaureate curriculum, I frequently utilize Rurera as a remediation tool to bridge gaps."""
teacher,Jack Foster,3/25/2023,,united-kingdom,York,Text,"""I used Rurera ALL the time in the classroom and believed that it was hands down the most powerful learning resource out there. My favorite part is the personalization aspect. All students had to do was put in their recent MAPs scores and voila! They had their own personalized plan. Pure genius!"""
teacher,Amelia Adams,3/26/2023,,united-kingdom,Peterborough,Text,"""I love that students get instant feedback on each problem they miss and I can easily create quizzes based on specific skills. I also love that I can instantly see how students are doing and send them a message to encourage them."""
teacher,Lucas Russell,3/27/2023,,united-kingdom,Dundee,Text,"""What I LOVE MOST about Rurera is when students get the answer wrong, it takes away points. This makes the students work harder to ensure that they get the answer RIGHT! I also LOVE that when students get the answer wrong, they are provided with a step-by-step answer with explanation. Rurera has helped my students become more successful learners by providing UNLIMITED questions."""
teacher,Noah Bennett,3/28/2023,,united-kingdom,Plymouth,Text,"""Rurera has many benefits in the classroom. My students have become more self-directed through their use of Rurera. Through consistent use of the Diagnostic tool, my students can target and strengthen their areas of weakness. They enjoy watching their numbers grow over the weeks and months."""
teacher,Olivia Richardson,3/29/2023,,united-kingdom,Oxford,Text,"""I have been using Rurera as a bell-ringer activity daily for 7-10 minutes with my social studies students. I love the social studies content!! There are so few opportunities available that have this type of support for social studies—most focus only on math or ELA."""
teacher,Liam Campbell,3/30/2023,,united-kingdom,Norwich,Text,We use Rurera's Diagnostic tool weekly to track student growth. The data motivates students to improve and take ownership of their learning. They eagerly celebrate their gradual progress each week.
teacher,Ava Cooper,3/31/2023,,united-kingdom,Stoke-on-Trent,Text,"""The best part about Rurera is that all the questions and skills are aligned to standards. I love how my students are so proud of themselves when they see the amount of time they spent on using Rurera and all the certificates they collected."""
teacher,Benjamin Morgan,4/1/2023,,united-kingdom,Wolverhampton,Text,"""My favorite part about Rurera is its alignments to the textbooks that I currently teach in my math and elective courses. They are VERY helpful. Rurera became my go-to website for my students when they are stuck with a concept or need to review on other concepts."""
teacher,Isabella Jenkins,4/2/2023,,united-kingdom,Derby,Text,"""The diagnostic that connects to skills on the recommendations wall has allowed my students to improve, on average by 2.6 YEARS in the past five months. I will fight tooth and nail if necessary to keep Rurera available every year from now on, and I want to move this model into every single grade of our K-12 school."""
teacher,Jacob Thompson,4/3/2023,,united-kingdom,Swansea,Text,"""I like that I can switch between different grade levels based on the students' needs. My younger students are encouraged by the awards, and older students feel gratified when they get the questions correct."""
teacher,Sophia Adams,4/4/2023,,united-kingdom,Southampton,Text,"""I use Rurera in a variety of ways. I love the new Rurera Group Jam feature. I also use Rurera Diagnostic and then print out their recommendations pages for them to work on during morning work. I use Rurera Live, Score Grid, and Student Quickview to monitor student progress on a moment-by-moment basis. I love that Rurera gives students feedback on what they are getting right and why they are getting things wrong. Rurera is an integral part of my classroom."""
teacher,William Reed,4/5/2023,,united-kingdom,York,Text,"""It allows students to work on their own levels and at their own pace. I also love that I can see what they are doing when they are doing it, provide feedback or help in real time."""
teacher,Amelia Turner,4/6/2023,,united-kingdom,Peterborough,Text,"""As Rurera is an EFL country, public school students start to learn English as a subject from the 1st grade. However, some students attend bilingual (Chinese/English) kindergartens, so the English level is very different. Using Rurera can help my students learn based on their own level, especially during the school lockdown time now. Also, Rurera is pretty user-friendly, so they can practice the alphabet/phonics skills anytime they want."""
teacher,Mason Evans,4/7/2023,,united-kingdom,Bolton,Text,"""The diagnostic that connects to skills on the recommendations wall has allowed my students to improve, on average by 2.6 YEARS in the past five months. I will fight tooth and nail if necessary to keep Rurera available every year from now on, and I want to move this model into every single grade of our K-12 school."""
teacher,Emily Mitchell,4/8/2023,,united-kingdom,Ipswich,Text,"""The only way to get the hang of math is to practice it. I use Rurera after I teach a lesson but before assigning homework in order to give my students the opportunity to get the hang of the concept without being afraid of getting the wrong answer. They are able to figure out where they may have gone wrong and self-correct. They are more independent, and it has given them 'the freedom to fail' because they are no longer afraid to get the question wrong and learn from their mistakes."""
teacher,Ethan Parker,4/9/2023,,united-kingdom,Telford,Text,"""I ask them to do 10 questions a day, but they get engaged in the learning. Most students want the medals gained, and it's lighthearted competition amongst themselves. Way cool!!!!"""
teacher,Harper Davis,4/10/2023,,united-kingdom,Cambridge,Text,"""Rurera has greatly helped to fill learning gaps and has provided accountability for progress and time-on-task behavior."""
teacher,James Foster,4/11/2023,,united-kingdom,Doncaster,Text,"""After using Rurera for two years during our intervention time, my 5th graders had an average growth of 56% on the state assessments, and my 6th graders had a growth rate of 82%. Every student in my class met the standards for the school year!"""
teacher,Charlotte Hayes,4/12/2023,,united-kingdom,Hastings,Text,"The only way to get the hang of math is to practice it. I use Rurera after I teach a lesson but before assigning homework in order to give my students the opportunity to get the hang of the concept without being afraid of getting the wrong answer. They are able to figure out where they may have gone wrong and self-correct. They are more independent, and it has given them ""the freedom to fail"" because they are no longer afraid to get the question wrong and learn from their mistake"
teacher,Michael Roberts,4/13/2023,,united-kingdom,Eastbourne,Text,I ask them to do 10 questions a day but they get engaged in the learning. Most students want the medal gained and it's lighthearted competition amongst themselves. Way cool!!!!
teacher,Mia Brooks,4/14/2023,,united-kingdom,Exeter,Text,Rurera has greatly helped to fill learning gaps and has provided accountability for progress and time-on-task behavior.
teacher,Alexander Nelson,4/15/2023,,united-kingdom,Cheltenham,Text,"After using Rurera for two years during our intervention time, my 5th graders had an average growth of 56% on the state assessments and my 6th graders had a growth rate of 82%. Every student in my class met the standards for the school year!"
teacher,Evelyn Mitchell,4/16/2023,,united-kingdom,Hastings,Text,"We just started using Rurera last year, but our school loves it. Parents like to see statistics, so the reports with the graphs are a big hit. Also, with any of our students who have IEP's, it helps us track their progress."
teacher,Caleb Mitchell,4/17/2023,,united-kingdom,Bristol,Text,"When I assign a Rurera lesson, I can let kids work together because they cannot cheat. Each student has a different problem but the same concept. I love overhearing the students helping each other and working out the solution together."
teacher,Ella Reynolds,4/18/2023,,united-kingdom,Edinburgh,Text,"I like the breakdown of specific skills that correlate with grade level, I like the easy user interface, and I really like the correct explanations with illustrations for the answers to each question. Students and teachers love the ease of use, the reports, and awards. Thank you so much for creating an amazing math website."
teacher,Daniel Thompson,4/19/2023,,united-kingdom,Cardiff,Text,"My children are loving it and I have also received great comments from parents. In class, they are begging to get on your site!!!"
teacher,Grace Campbell,4/20/2023,,united-kingdom,Belfast,Text,"Students are retaining their learning and understanding because they are being given more opportunities to embed it into long-term memory. As a result, they're more successful."
teacher,Nathan Turner,4/21/2023,,united-kingdom,Nottingham,Text,This is our first week of Rurera. The kids were pleading with me to go onto Rurera half an hour before school started this morning. Other teachers that walked into the room were astounded to see our 16 notebook computers all being used by excited kids doing MATHS!!
teacher,Avery Parker,4/22/2023,,united-kingdom,Southampton,Text,"My students are improving by the day, and some even stay in for recess to work on Rurera!"
teacher,Samuel Hayes,4/23/2023,,united-kingdom,Leicester,Text,"I have been walking around on cloud nine since I started using Rurera because it is everything I needed and more. I got my own children started, I got my principal using it for his own kids, I got a subscription for my class, and I have told every teacher I can about it! Thanks!!"
teacher,Scarlett Davis,4/24/2023,,united-kingdom,Aberdeen,Text,"The entire site is amazing. I love the fact that as a teacher you are able to create accounts for your students, track their progress, and view a rich assortment of reports showing you just how much they are improving. Also, the interactive style and scoring method for the students are great."
teacher,Isaac Morgan,4/25/2023,,united-kingdom,Coventry,Text,Rurera has greatly helped to fill learning gaps and has provided accountability for progress and time-on-task behavior.
teacher,Lily Bennett,4/26/2023,,united-kingdom,Brighton and Hove,Text,"After using Rurera for two years during our intervention time, my 5th graders had an average growth of 56% on the state assessments and my 6th graders had a growth rate of 82%. Every student in my class met the standards for the school year!"
teacher,Owen Roberts,4/27/2023,,united-kingdom,Portsmouth,Text,"We just started using Rurera last year, but our school loves it. Parents like to see statistics, so the reports with the graphs are a big hit. Also, with any of our students who have IEP's, it helps us track their progress."
teacher,Stella Foster,4/28/2023,,united-kingdom,Plymouth,Text,This is our first week of Rurera. The kids were pleading with me to go onto Rurera half an hour before school started this morning. Other teachers that walked into the room were astounded to see our 16 notebook computers all being used by excited kids doing MATHS!!
teacher,Xavier Mitchell,4/29/2023,,united-kingdom,Oxford,Text,"My students are improving by the day, and some even stay in for recess to work on Rurera!"
teacher,Victoria Collins,4/30/2023,,united-kingdom,Norwich,Text,"I have been walking around on cloud nine since I started using Rurera because it is everything I needed and more. I got my own children started, I got my principal using it for his own kids, I got a subscription for my class, and I have told every teacher I can about it! Thanks!!"
teacher,Zachary Nelson,5/1/2023,,united-kingdom,Stoke-on-Trent,Text,"The entire site is amazing. I love the fact that as a teacher you are able to create accounts for your students, track their progress, and view a rich assortment of reports showing you just how much they are improving. Also, the interactive style and scoring method for the students are great."
teacher,Audrey Adams,5/2/2023,,united-kingdom,Wolverhampton,Text,"I love the tracking ability of the program. I am able to see what my students are working on at any given time of the day or night and what areas they are currently concentrating on. It allows me to tailor instruction and target those students who need my attention and would not otherwise ask for help. I also have students working on individual programs at various grade levels, and this allows them to work with the rest of the class and instills a sense of belonging. My students are more motivated than I have ever seen them, and it's very exciting to see."
teacher,Julian Campbell,5/3/2023,,united-kingdom,Derby,Text,Rurera really boosted my junior high daughter's confidence in math – so much so that I asked my school if I could get a subscription for my math classes.
teacher,Paisley Turner,5/4/2023,,united-kingdom,Swansea,Text,"Your site is fantastic, and it is great that it is aligned with the new Australian curriculum. The kids are loving the problem-solving and also that they get instant feedback. This has led to greater confidence and engagement."
teacher,Ryan Mitchell,5/5/2023,,united-kingdom,Southampton,Text,"I love that my child has the opportunity to review concepts and advance to the next stages when mastery is achieved. I love that if a child struggles with a topic or lesson, you can go below grade level for extra practice, and once mastery is achieved, you can go to higher grade levels for advanced practice. The comprehensive practice across subjects is excellent!"
teacher,Penelope Hayes,5/6/2023,,united-kingdom,York,Text,"The entire Rurera platform is amazing. I love the fact that as a teacher, you are able to create accounts for your students, track their progress, and view a rich assortment of reports showing you just how much they are improving. Also, the interactive style and scoring method for the students are great."
parent,Henry Anderson,5/7/2023,,united-kingdom,Manchester,Text,"""Rurera has helped my kids do really well in math, reading, and working on their own. The medals and rewards they earn for their achievements keep them motivated. The reports show me how they are doing and where they can improve. When they learn something new, I get a notification and they feel proud!"""
parent,Isabella Hughes,5/8/2023,,united-kingdom,Birmingham,Text,"""My son loves Rurera. It has helped him read faster, understand better, and solve problems easily. He feels really smart!"""
parent,Liam Turner,5/9/2023,,united-kingdom,Edinburgh,Text,"""I just started using Rurera, and it's already showing positive results. I like how the lessons repeat, so my child remembers what they learned."""
parent,Sophia Cooper,5/10/2023,,united-kingdom,Glasgow,Text,"Although we've only just begun, my daughter thoroughly enjoys dedicating herself to the exercises. I firmly believe that if she maintains this enthusiasm, she will consistently excel in mathematics and derive pleasure from it."
parent,Oliver Parker,5/11/2023,,united-kingdom,Bristol,Text,"""My kids are working faster and feeling more confident with Rurera. I love that they can practice topics they enjoy more in the next level."""
parent,Amelia Brooks,5/12/2023,,united-kingdom,Liverpool,Text,"""Rurera is amazing in every way. The questions, the quick feedback, the awards and certificates - it's all great!"""
parent,Benjamin Mitchell,5/13/2023,,united-kingdom,Norwich,Text,"""This educational platform has helped my kids a lot. My older daughter even skipped a grade because of it!"""
